22:00:08 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:08 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:08 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:09 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:09 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:09 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:09 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:10 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:10 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:10 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:10 13/09, info: cam1: 0 fps, 0kb/s, 
22:00:11 13/09, info: cam1: 17 fps, 178kb/s, 
22:00:11 13/09, info: cam1: 17 fps, 178kb/s, 
22:00:11 13/09, info: cam1: 17 fps, 178kb/s, 
22:00:11 13/09, info: cam1: 17 fps, 178kb/s, 
22:00:12 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:12 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:12 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:12 13/09, info: cam1: 14 fps, 13kb/s, 
22:00:13 13/09, info: cam1: 14 fps, 17kb/s, 
22:00:13 13/09, info: cam1: 14 fps, 17kb/s, 
22:00:13 13/09, info: cam1: 14 fps, 17kb/s, 
22:00:13 13/09, info: cam1: 14 fps, 17kb/s, 
22:00:14 13/09, info: cam1: 14 fps, 22kb/s, 
22:00:14 13/09, info: cam1: 14 fps, 22kb/s, 
22:00:14 13/09, info: cam1: 14 fps, 22kb/s, 
22:00:14 13/09, info: cam1: 14 fps, 22kb/s, 
22:00:15 13/09, info: cam1: 14 fps, 25kb/s, 
22:00:15 13/09, info: cam1: 14 fps, 25kb/s, 
22:00:15 13/09, info: cam1: 14 fps, 25kb/s, 
22:00:15 13/09, info: cam1: 14 fps, 25kb/s, 
22:00:16 13/09, info: cam1: 15 fps, 24kb/s, 
22:00:16 13/09, info: cam1: 15 fps, 24kb/s, 
